strategy,scenario,Group,Generation,cat,gvNormUnres1,gvNormUnres3
ClassGen,10_10,import,36,gpb,6.245593310793333,7.631756680476668
ClassGen,10_10,import,37,gpb,6.49438609359,7.857489778176667
ClassGen,10_10,import,38,gpb,5.860581734816668,7.151866963513333
ClassGen,10_10,import,39,gpb,6.53147730982,7.798425988676666
ClassGen,10_10,import,40,gpb,6.248312572983333,7.719693308876668
ClassGen,10_10,import,41,gpb,6.927155172880001,8.337262060383335
ClassGen,10_10,import,42,gpb,6.66598409096,8.46082930376
ClassGen,10_10,import,43,gpb,6.887467094650001,8.397950370516666
ClassGen,10_10,import,44,gpb,6.9343199296266675,8.950670529006668
ClassGen,10_10,import,45,gpb,7.206172469923334,9.00814937253
ClassGen,10_10,import,46,gpb,7.480211260056667,8.99864786654
ClassGen,10_10,import,47,gpb,7.567117452443334,9.791472682686665
ClassGen,10_10,import,48,gpb,7.700486530076667,9.446877763873333
ClassGen,50_50,home,11,pb,3.0062906225500003,1.9233526519125004
