AgeCat Cor Gen Rep Ref varE
k3 0.743655758994 23 0 1K 0.5
k5 0.806173359848 23 0 1K 0.5
pBM4 0.500491874439 23 0 1K 0.5
pBM5 0.574379739362 23 0 1K 0.5
pBM6 0.792075872576 23 0 1K 0.5
potomciNP0 0.186324005818 23 0 1K 0.5
telF1 0.290952519469 23 0 1K 0.5
k3 0.766630770145 24 0 1K 0.5
k5 0.779510939446 24 0 1K 0.5
pBM4 0.453356522103 24 0 1K 0.5
pBM5 0.499433593941 24 0 1K 0.5
pBM6 0.666368199325 24 0 1K 0.5
potomciNP0 0.513863804228 24 0 1K 0.5
telF1 0.50142459594 24 0 1K 0.5
k3 0.754938396859 25 0 1K 0.5
k5 0.757009812062 25 0 1K 0.5
pBM4 0.163466686038 25 0 1K 0.5
pBM5 0.455797583037 25 0 1K 0.5
pBM6 0.481079325391 25 0 1K 0.5
potomciNP0 0.464646251365 25 0 1K 0.5
telF1 0.509142060198 25 0 1K 0.5
k3 0.739551466189 26 0 1K 0.5
k5 0.783810888556 26 0 1K 0.5
pBM4 0.1397372532 26 0 1K 0.5
pBM5 0.165950779503 26 0 1K 0.5
pBM6 0.506055143003 26 0 1K 0.5
potomciNP0 0.397979557149 26 0 1K 0.5
telF1 0.515921749437 26 0 1K 0.5
k3 0.744273782603 27 0 1K 0.5
k5 0.779800109601 27 0 1K 0.5
pBM4 0.46194470739 27 0 1K 0.5
pBM5 0.172989007679 27 0 1K 0.5
pBM6 0.214424366234 27 0 1K 0.5
potomciNP0 0.398876523791 27 0 1K 0.5
telF1 0.523280509265 27 0 1K 0.5
k3 0.739364238574 28 0 1K 0.5
k5 0.748435983522 28 0 1K 0.5
pBM4 0.468843144443 28 0 1K 0.5
pBM5 0.370325977256 28 0 1K 0.5
pBM6 0.23165101358 28 0 1K 0.5
potomciNP0 0.496226089618 28 0 1K 0.5
telF1 0.511737060049 28 0 1K 0.5
k3 0.717543410387 29 0 1K 0.5
k5 0.739953656029 29 0 1K 0.5
pBM4 0.363651728853 29 0 1K 0.5
pBM5 0.487935505859 29 0 1K 0.5
pBM6 0.357922742812 29 0 1K 0.5
potomciNP0 0.536291444932 29 0 1K 0.5
telF1 0.474491446714 29 0 1K 0.5
k3 0.712541166342 30 0 1K 0.5
k5 0.753184926848 30 0 1K 0.5
pBM4 0.487584567128 30 0 1K 0.5
pBM5 0.420674080609 30 0 1K 0.5
pBM6 0.407828531038 30 0 1K 0.5
potomciNP0 0.428083468922 30 0 1K 0.5
telF1 0.491269951367 30 0 1K 0.5
k3 0.701219046625 31 0 1K 0.5
k5 0.724134470971 31 0 1K 0.5
pBM4 0.0272979404953 31 0 1K 0.5
pBM5 0.547846099331 31 0 1K 0.5
pBM6 0.404953169887 31 0 1K 0.5
potomciNP0 0.329049909774 31 0 1K 0.5
telF1 0.465201310522 31 0 1K 0.5
k3 0.703567284605 32 0 1K 0.5
k5 0.720328650107 32 0 1K 0.5
pBM4 0.691054158408 32 0 1K 0.5
pBM5 0.0565650944714 32 0 1K 0.5
pBM6 0.503543837712 32 0 1K 0.5
potomciNP0 0.26818865119 32 0 1K 0.5
telF1 0.481953582897 32 0 1K 0.5
k3 0.695380850338 33 0 1K 0.5
k5 0.720521617379 33 0 1K 0.5
pBM4 0.293256779172 33 0 1K 0.5
pBM5 0.614074357166 33 0 1K 0.5
pBM6 0.00195357860937 33 0 1K 0.5
