AgeCat Cor Gen Rep Ref sc
k5 0.762579137835 29 0 10K 5
potomciNP0 0.485802881596 29 0 10K 5
telF1 0.499937250991 29 0 10K 5
vhlevljeni1 0.150879665127 29 0 10K 5
cak5 0.967871458237 30 0 10K 5
k3 0.727639216442 30 0 10K 5
k5 0.760641844005 30 0 10K 5
potomciNP0 0.505832987333 30 0 10K 5
telF1 0.508068583238 30 0 10K 5
vhlevljeni1 0.545837135342 30 0 10K 5
cak5 0.943409895275 31 0 10K 5
k3 0.705278526632 31 0 10K 5
k5 0.739605881906 31 0 10K 5
potomciNP0 0.460625272006 31 0 10K 5
telF1 0.534774751314 31 0 10K 5
vhlevljeni1 0.682107209016 31 0 10K 5
cak5 0.913948192208 32 0 10K 5
k3 0.720838383306 32 0 10K 5
k5 0.731551254113 32 0 10K 5
potomciNP0 0.46694744238 32 0 10K 5
telF1 0.506983011595 32 0 10K 5
vhlevljeni1 0.239186199833 32 0 10K 5
cak5 0.929028934507 33 0 10K 5
k3 0.721501249199 33 0 10K 5
k5 0.721000754877 33 0 10K 5
potomciNP0 0.523544082634 33 0 10K 5
telF1 0.496480420567 33 0 10K 5
vhlevljeni1 0.648161885968 33 0 10K 5
cak5 0.892678714664 34 0 10K 5
k3 0.71385555689 34 0 10K 5
k5 0.711453628474 34 0 10K 5
potomciNP0 0.212820639079 34 0 10K 5
telF1 0.444091867017 34 0 10K 5
vhlevljeni1 0.526781135667 34 0 10K 5
cak5 0.971407570391 35 0 10K 5
k3 0.718833747898 35 0 10K 5
k5 0.725441805645 35 0 10K 5
potomciNP0 0.479754854881 35 0 10K 5
telF1 0.452623316492 35 0 10K 5
vhlevljeni1 0.493975342676 35 0 10K 5
cak5 0.934816396781 36 0 10K 5
k3 0.709419155551 36 0 10K 5
k5 0.736912008096 36 0 10K 5
potomciNP0 0.285811988808 36 0 10K 5
telF1 0.486974655961 36 0 10K 5
vhlevljeni1 0.511953723277 36 0 10K 5
cak5 0.919518848576 37 0 10K 5
k3 0.678921683744 37 0 10K 5
k5 0.727069832212 37 0 10K 5
potomciNP0 0.377826308609 37 0 10K 5
telF1 0.452987222034 37 0 10K 5
vhlevljeni1 -0.0126908412459 37 0 10K 5
cak5 0.986853027813 38 0 10K 5
k3 0.701978076916 38 0 10K 5
k5 0.722651379888 38 0 10K 5
potomciNP0 0.453436258575 38 0 10K 5
telF1 0.500571707496 38 0 10K 5
vhlevljeni1 0.154814734647 38 0 10K 5
cak5 0.94551219074 39 0 10K 5
k3 0.689226295845 39 0 10K 5
k5 0.699090653399 39 0 10K 5
potomciNP0 0.318456511227 39 0 10K 5
telF1 0.453410784529 39 0 10K 5
vhlevljeni1 0.180936367957 39 0 10K 5
cak5 0.908434470559 40 0 10K 5
k3 0.699398925732 40 0 10K 5
k5 0.720626969122 40 0 10K 5
potomciNP0 0.33909365574 40 0 10K 5
telF1 0.458615361072 40 0 10K 5
vhlevljeni1 0.387695063817 40 0 10K 5
cak5 0.97159571558 41 0 10K 5
k3 0.658247782589 41 0 10K 5
k5 0.702478155065 41 0 10K 5
potomciNP0 0.415949954218 41 0 10K 5
telF1 0.432536932445 41 0 10K 5
vhlevljeni1 0.126970221822 41 0 10K 5
cak5 0.933029012592 42 0 10K 5
